system   D            wsystem.c:583  maybe_parent_dir                 [   0.00082] Also searching C:\Users\Bruno\Documents\GitHub\ImunoForce\ImunoForceVS\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00109] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00111] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00465] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.04943] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.04949] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.05148] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.05152] al_display=006D2C30
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.05153] al_display->vt=006D2B68
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.10746] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.10749] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10751] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10752] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10753] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10754] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10755] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10756] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10758] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10759] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10760] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10761] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10762] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10764] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10765] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10766] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10767] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10768] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10769] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10770] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10771] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10772] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10774] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.10775] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.10780] Score is : 897
