system   D            wsystem.c:583  maybe_parent_dir                 [   0.00082] Also searching C:\Users\Bruno\Documents\GitHub\ImunoForce\Pacheco\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00121] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00123] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00769] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.05848] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.05854] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.06363] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.06367] al_display=01148300
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.06369] al_display->vt=01144BE0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17802] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.17806] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17808] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17810] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17812] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17814] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17816] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17817] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17819] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17821] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17823] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17824] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17826] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17828] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17829] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17831] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17833] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17834] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17836] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17838] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17840] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17841] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17843] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17845] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17853] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17855] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17857] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17859] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17861] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17862] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17864] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.17866] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17868] Score is : 897
